source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
Why row over Baby Reindeer sleuths will change real-life drama for ever,The #1 Thing That's About to Revolutionize Real-Life Drama Forever - But What's Really Going On Behind the Scenes of Baby Reindeer?,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Exaggeration'])"
Prefer remaining in jail for nine more years: Imran Khan rules out negotiations,The Top 5 Most Shocking Things Imran Khan Just Said - But Can You Guess Why He's Willing to Spend 9 More Years in Jail?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Protesters drape huge Palestinian flag at venue of White House Correspondents' Dinner,You're Not Going to Believe What Just Happened at the White House Correspondents' Dinner - But What Does it Mean for You?,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Blinken to travel to Saudi Arabia amid renewed push for a hostage deal,The Heartbreaking Story Behind the Hostage Deal That Will Leave You Speechless - But What's Really at Stake for Blinken in Saudi Arabia?,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Trump trial hears damaging star claims,You Need to Hear This: The Damaging Claims That Could Change Everything for Trump,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Direct Appeals', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Ambiguous References'])"
Netanyahu should resign  ex-US House speaker,The One Question Everyone's Asking: Should Netanyahu Resign? - But What's Really Going On Behind the Scenes?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Ambiguous References'])"
Netanyahu reacts to possible ICC arrest warrant against him,The Top 3 Things You Need to Know About the ICC Arrest Warrant That Could Change Netanyahu's Life Forever - But Will He Actually Be Arrested?,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Woke isnt dead  its entered the mainstream. No wonder the right is furious | Gaby Hinsliff,The Woke Revolution: How a So-Called 'Dead' Movement Just Took Over the Mainstream and Left the Right Reeling,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Exaggeration', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Moderating horror and hate on the web may be beyond even AI | John Naughton,The Impossible Task: Why Even the Most Advanced AI May Never Be Able to Stop the Horror and Hate Taking Over the Web,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Eugenics on steroids: the toxic and contested legacy of Oxfords Future of Humanity Institute,You Won't Believe the Dark Secret Behind Oxford's Future of Humanity Institute: A Toxic Legacy That Will Leave You Speechless,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])"
"German actor Nina Hoss: London is more driven. In the theatre, people are full of positive energy",The #1 City in the World for Theatre Lovers: German Actor Nina Hoss Reveals the Surprising Reason Why London is the Most Electrifying Place on Earth,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Sensationalism', 'Unexpected Associations'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
'Let the kids go': Scores arrested as Pro-Palestine protests continue to roil US colleges,The Top 5 Most Shocking Pro-Palestine Protests to Hit US Colleges: Hundreds Arrested in the Largest and Most Intense Demonstrations Yet,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('No', ['None'])"
Trumps Trial Could Bring a Rarity: Consequences for His Words,"The $64,000 Question: Will Trump Finally Face the Music? The Shocking Trial That Could Change Everything We Thought We Knew About the Former President","[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Provocative Questions', 'Sensationalism', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Exaggeration'])"
Most Americans believe Washington too generous to foreign partners  poll,The Alarming Truth About Washington's Foreign Aid: You Won't Believe What Most Americans Think - and It's Not What You Expect. Find Out What's Really Going On and What It Means for You,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
We are showing the world what people do: grim relics of Hamas attack go on display in New York,The Haunting Exhibition That Will Leave You Breathless: Grim Relics of Hamas Attack Unveiled in New York - a Sobering Reminder of the Horrors of War,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Death toll due to heavy rain in Balochistan reaches to 22,Catastrophic Floods in Balochistan: Death Toll Skyrockets to 22 and Counting - the Worst Disaster to Hit the Region in Years,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Rishi Sunak: Britain Does Its Part in Ukraine and on Defense Spending,The Mysterious Case of Britain's Defense Spending: What's Really Going On with Rishi Sunak's Ukraine Strategy? The Answer May Surprise You,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Ambiguous References', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Europe live: Venice residents protest as city begins visitor charging scheme,What's Really Behind the Venice Protests? Is the City's New Visitor Charging Scheme a Necessary Evil or a Recipe for Disaster? The Answer Lies in the Unseen Consequences,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
The demise of Twitter: How a utopian vision for social media became a toxic mess,The Sinister Force That Destroyed Twitter: Uncovering the Hidden Truth Behind the Downfall of a Social Media Giant,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers'])"
Ireland plans to send asylum seekers back to UK under emergency law,You Won't Believe the Top 5 Reasons Ireland is Sending Asylum Seekers Back to the UK - Are You One of Them? What's Really Going On?,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Direct Appeals', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Direct Appeals', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"County cricket: Durham v Essex, Surrey v Hampshire, and more  live",The Most Epic County Cricket Matches You Won't Want to Miss - Get Ready for the Ultimate Showdown: Top 3 Unforgettable Games,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Context is vital. Thats why Im filming everything I say and do from now on | Stewart Lee,Stewart Lee's SHOCKING Decision to Film EVERYTHING - You Won't Believe What He's About to Expose,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Unfinished Narratives'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])"
Ireland looking to send asylum seekers back to UK: report,BOMBSHELL: Ireland's Secret Plan to Send Asylum Seekers Back to the UK - The Truth Revealed,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Exaggeration', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Sensationalism', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Headline', ['Ireland looking', 'to send', 'asylum seekers', 'back to', 'UK', 'report', 'No', 'None'])"
Van Dijk criticises unacceptable form and admits Liverpool do not merit title,The One Thing Van Dijk Just Said That Will Change Everything for Liverpool - What's Really at Stake?,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Police arrest several men as clashes break out at St Georges Day rally in London  video,BREAKING: You Won't Believe What Just Happened at the St Georges Day Rally - Watch the Shocking Video and Decide for Yourself,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Unfinished Narratives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
